epoch,loss,reconstruction_l1,kl,beta_kl
1,0.0550279856568053,0.0402259973043495,1480.1988728061044,1e-05
2,0.0458964468494194,0.0298982068204943,1599.8240428526708,1e-05
3,0.0449519146096669,0.0290106945068352,1594.122053275079,1e-05
4,0.0444717524213247,0.028556941799888,1591.481104283245,1e-05
5,0.0438332527767341,0.0278022253794447,1603.1027777736172,1e-05
6,0.0434575937659782,0.027376277120841,1608.1317040379065,1e-05
7,0.0432230721804901,0.0271449575623485,1607.8115044342228,1e-05
8,0.043094173850823,0.027048484899355,1604.5689383664746,1e-05
9,0.0428641162544168,0.0267983173931508,1606.5799277838023,1e-05
10,0.0427558066386249,0.0266978293471609,1605.7977677795784,1e-05
11,0.0424770018188682,0.0264076807427625,1606.9321477223027,1e-05
12,0.0423969661108463,0.0263381393374932,1605.882719636695,1e-05
13,0.0422657745678914,0.0262190730130996,1604.670196907652,1e-05
14,0.0422343691051052,0.0262158366857222,1601.8532743863532,1e-05
15,0.042144552704541,0.0261274368110815,1601.7116286388934,1e-05
16,0.0419915943532222,0.0259808431453774,1601.0751599270873,1e-05
17,0.0419310114112185,0.0259450977693877,1598.591407729073,1e-05
18,0.0418289444449306,0.0258257362885869,1600.3208541402057,1e-05
19,0.04182969643363,0.0258378170850612,1599.1879787328053,1e-05
20,0.0416909545414332,0.0256978665861341,1599.3088293719145,1e-05
21,0.0416958633970263,0.0257262020968929,1596.9661667712628,1e-05
22,0.0415898979915751,0.0256302163199138,1595.9682061131016,1e-05
23,0.0416108192704572,0.0256663687967129,1594.4450847415103,1e-05
24,0.041487604016838,0.0255414651509694,1594.6139290464437,1e-05
25,0.0414788489189981,0.0255525657518601,1592.6283623631016,1e-05
26,0.0413915011231884,0.0254437215311989,1594.7779983801345,1e-05
27,0.0413551105791988,0.0254446759982823,1591.0434970036606,1e-05
28,0.0413560641192448,0.0254264202845951,1592.9644276437584,1e-05
29,0.0413146508326239,0.0254123898257324,1590.2261436790045,1e-05
30,0.041247049349423,0.0253514084019383,1589.5641333457152,1e-05
31,0.0412137858923867,0.0253106329084425,1590.3153471215371,1e-05
32,0.0411443549945402,0.0252587288029583,1588.562659608806,1e-05
33,0.0411014335281415,0.0252287764119361,1587.2657586782257,1e-05
34,0.0435521406452942,0.0278647624276167,1568.7378602759238,1e-05
35,0.0500433320419554,0.0348030615118018,1524.027094460704,1e-05
36,0.0431991881788051,0.0273752668072566,1582.392179805077,1e-05
37,0.0421654568967963,0.0262463760470822,1591.9081222440568,1e-05
38,0.0419411060223184,0.0260450609793966,1589.6045468570264,1e-05
39,0.041616529963362,0.0256875083436103,1592.9022040805933,1e-05
40,0.0414543910026321,0.0255307973565339,1592.3594037389462,1e-05
41,0.0414289240411088,0.0255273458864996,1590.157851985627,1e-05
42,0.0432127724127398,0.0271538969435003,1605.8875915901792,1e-05
43,0.0434328198141526,0.0271521298903286,1628.0690265491696,1e-05
44,0.0426478283822627,0.0264331198417427,1621.470891472752,1e-05
45,0.0415636326894849,0.025587865392866,1597.5767694016906,1e-05
46,0.0414526014691618,0.0255167769322434,1593.5824938815065,1e-05
47,0.0413448312719769,0.0254236984629458,1592.113318601269,1e-05
48,0.0412895821600558,0.0253813167536871,1590.826578620021,1e-05
49,0.041201471305378,0.0252785194376654,1592.2952263018835,1e-05
50,0.0411581671711034,0.0252435636432395,1591.4603937067138,1e-05
51,0.0411384426617274,0.0252491558739127,1588.92872198374,1e-05
52,0.0410680371033816,0.0251722802219489,1589.575723191712,1e-05
53,0.0409948003472634,0.0251034242986627,1589.1376452299714,1e-05
54,0.0410293519719749,0.0251724138367418,1585.6938592641632,1e-05
55,0.0409696955559489,0.0251017450854936,1586.7950905641894,1e-05
56,0.040952459326231,0.0250951120804172,1585.73476723513,1e-05
57,0.0408710314652259,0.0250115210313258,1585.9510827561828,1e-05
58,0.0408589634872927,0.0250161055566891,1584.2858315684314,1e-05
59,0.0408484689759924,0.0250214230414891,1582.70462766308,1e-05
60,0.04081206023407403,0.02495992517218771,1585.2135521824375,1e-05
